customer_id,Churn,CustomerFeedback_clean,reason_short,reason_long,churn_category
6289-CPNLD,1,ive been a customer with this company for over 2 and a half years now and unfortunately i have decided to churn the dsl internet service was reliable for the most part but the monthly charges of 739 were a bit steep for the quality of service i was receiving additionally having to mail in a check for payment was inconvenient and outdated i ultimately decided to switch to a different provider that offered better value and more modern payment options,high monthly charges,the monthly charges of 739 were a bit steep for the quality of service i was receiving,Better deal / pricing
6797-LNAQX,1,i have been a customer with this company for 70 months and initially signed up for a twoyear contract i have been using their fiber optic internet service and have been satisfied with the speed and reliability however i recently decided to churn because i found a better deal with another provider the monthly charges of 983 were reasonable for the service i received i appreciated the convenience of automatic bank transfers for payment overall my experience with this company was positive but i ultimately decided to switch due to cost savings,cost savings,however i recently decided to churn because i found a better deal with another provider,Better deal / pricing
8020-BWHYL,1,i recently canceled my service with this provider after being a customer for 15 months on a monthtomonth contract the monthly charges were reasonable at 753 and i appreciated the convenience of automatic credit card payments however i decided to switch to a different provider for a better deal the fiber optic internet service was reliable during my time with them but ultimately i felt it was time for a change overall i had a satisfactory experience with this provider,better deal,however i decided to switch to a different provider for a better deal,Better deal / pricing
7767-UXAGJ,1,i recently signed up for dsl internet service with this company on a monthtomonth contract unfortunately after just one month of service i decided to cancel due to slow and unreliable internet speeds the monthly charges of 5045 were reasonable but the service did not meet my expectations i also encountered issues with the electronic check payment method overall i was disappointed with the experience and chose to churn,slow internet speeds,due to slow and unreliable internet speeds the monthly charges of 5045 were reasonable but the service did not meet my expectations,Technical issues / speed
3351-NQLDI,1,i have been a customer with this company for 67 months and i am disappointed to say that i have decided to churn while the fiber optic internet service was reliable and fast i found that the monthly charges of 9435 were too high for the value i was receiving i had signed a oneyear contract and had been paying automatically with my credit card but i ultimately decided to switch to a more affordable provider i would have appreciated more competitive pricing or incentives to stay with this company,high monthly charges,i found that the monthly charges of 9435 were too high for the value i was receiving,Better deal / pricing
4702-IOQDC,1,i recently signed up for the fiber optic internet service with this company on a monthtomonth contract i was initially impressed with the speed and reliability of the internet connection however after only one month of service i have decided to cancel due to the high monthly charges of 701 i found a more affordable option with a different provider overall i was satisfied with the service quality but the pricing ultimately led to my decision to churn,high monthly charges,i have decided to cancel due to the high monthly charges of 701,Better deal / pricing
6653-CBBOM,1,i recently signed up for fiber optic internet with this provider on a monthtomonth contract unfortunately after just one month i decided to cancel due to personal reasons the monthly charges were reasonable at 703 and i appreciated the option to pay via electronic check overall i had a positive experience with the internet service during my short tenure i would consider rejoining in the future if needed,personal reasons,unfortunately after just one month i decided to cancel due to personal reasons the monthly charges were reasonable at 703 and i appreciated the option to pay via electronic check,Personal reasons
8267-ZNYVZ,1,i was initially satisfied with my fiber optic internet service from this provider but after 33 months of being a customer i decided to churn the monthly charges of 10375 were reasonable for the speed and reliability of the service however i found that there were better deals available from other providers and decided to switch overall the service was good but i felt that i could get a better value elsewhere,better deals elsewhere,however i found that there were better deals available from other providers and decided to switch,Better deal / pricing
5281-BUZGT,1,i have been a customer with this company for 36 months on a monthtomonth contract i recently decided to churn because i found a better deal with another provider the monthly charges were reasonable at 9085 for fiber optic internet service i appreciated the convenience of using electronic check as my payment method overall my experience with this company was satisfactory but i ultimately decided to switch due to a better offer elsewhere,found a better deal,i recently decided to churn because i found a better deal with another provider,Better deal / pricing
0612-RTZZA,1,i recently signed up for dsl internet service with this provider on a monthtomonth contract unfortunately after only 1 month i decided to cancel due to slow speeds and unreliable connection the monthly charges were reasonable at 2525 but the service did not meet my expectations i was also disappointed with the payment method of electronic check as i prefer more secure options overall i would not recommend this provider for dsl internet service,slow speeds,I decided to cancel due to slow speeds and unreliable connection,Technical issues / speed
